title_premier;Premier;;;;;;;;;;;;;x,,,,,,
title_premier_desc;This person holds the reigns of power within the empire.;;;;;;;;;;;;;x,,,,,,
title_bodyguard;Bodyguard;;;;;;;;;;;;;x,,,,,,
title_bodyguard_desc;This person is trusted with the daily protection of his or her lord.;;;;;;;;;;;;;x,,,,,,
title_court_jester;Court Jester;Bouffon;Hofnarr;;Bufón de la corte;;;;;;;;;x,,,,,,
title_minister_of_the_imperial_clan_desc;This minister holds great esteem within the empire. He is responsible for maintenance of the Imperial Clan's genealogy. This position can only be held by a member of the Imperial family.;;;;;;;;;;;;;x,,,,,,
title_minister_of_agriculture;Minister of Agriculture;;;;;;;;;;;;;x,,,,,,
title_minister_of_agriculture_desc;This minister holds great esteem within the empire. He is responsible for matters related to agriculture.;;;;;;;;;;;;;x,,,,,,
title_minister_of_ceremonies;Minister of Ceremonies;;;;;;;;;;;;;x,,,,,,
title_minister_of_ceremonies_desc;This minister holds great esteem within the empire. He is responsible for matters related to ritual.;;;;;;;;;;;;;x,,,,,,
title_minister_coachman;Minister Coachman;;;;;;;;;;;;;x,,,,,,
title_minister_coachman_desc;This minister holds great esteem within the empire. He is responsible for matters related to transportation.;;;;;;;;;;;;;x,,,,,,
title_minister_of_finance;Minister of Finance;;;;;;;;;;;;;x,,,,,,
title_minister_of_finance_desc;This minister holds great esteem within the empire. He is responsible for matters related to finance.;;;;;;;;;;;;;x,,,,,,
title_minister_of_the_guard;Minister of the Guard;;;;;;;;;;;;;x,,,,,,
title_minister_of_the_guard_desc;This minister holds great esteem within the empire. He is responsible for matters related to guards.;;;;;;;;;;;;;x,,,,,,
title_minister_herald;Minister Herald;;;;;;;;;;;;;x,,,,,,
title_minister_herald_desc;This minister holds great esteem within the empire. He is responsible for matters related to news.;;;;;;;;;;;;;x,,,,,,
title_minister_of_the_household;Minister of the Household;;;;;;;;;;;;;x,,,,,,
title_minister_of_the_household_desc;This minister holds great esteem within the empire. He is responsible for matters related to Imperial household.;;;;;;;;;;;;;x,,,,,,
title_minister_of_justice;Minister of Justice;;;;;;;;;;;;;x,,,,,,
title_minister_of_justice_desc;This minister holds great esteem within the empire. He is responsible for matters related to justice.;;;;;;;;;;;;;x,,,,,,
title_minister_steward;Minister Steward;;;;;;;;;;;;;x,,,,,,
title_minister_steward_desc;This minister holds great esteem within the empire. He is responsible for matters related to administration.;;;;;;;;;;;;;x,,,,,,
title_seneschal;Chief Attendant;;;;;;;;;;;;;x
title_seneschal_desc;Responsible for the organization of feasts and domestic entertainment. Although left mainly in the hands of deputies, the key role at such major occasions makes the post prestigious.;;;;;;;;;;;;;x
