#Health
EVTDESC_MAIMED;Your horrific maiming is slowly starting to heal. Although you no longer feel pain in the area, the region remains useless for anything else.;;;;;;;;;;;;;x;,,,,
EVTDESC_RTK.130014;The Heavens have cursed the grand coalition. The coalition has fallen apart from internal strife while their enemy remains safely in power.;;;;;;;;;;;;;x
EVTTITLE_RTK.130015;Coalition Victory;;;;;;;;;;;;;x
EVTDESC_RTK.130015;The Heavens have granted us victory. Our foe has retreated in the face of our awesome power. Their vassals are now cut free from the tyrant's control.;;;;;;;;;;;;;x
EVTTITLE_RTK.130016;Rebel Victory;;;;;;;;;;;;;x
EVTDESC_RTK.130016;The Heavens have cursed our forces. We have been defeated again and again by the combined armies of the rebelling lords of the realm. We must withdraw. For now...;;;;;;;;;;;;;x
EVTTITLE_RTK.130017;Coalition Victory;;;;;;;;;;;;;x
EVTDESC_RTK.130017;The Heavens have granted the coalition victory. The coalition has smashed through all obstacles. Our enemy is defeated.;;;;;;;;;;;;;x
EVTTITLE_RTK.130018;Coalition Victory;;;;;;;;;;;;;x
EVTDESC_RTK.130018;The Heavens have granted the coalition victory. Any would-be masters of the realm will think twice before tackling such ambitions again.;;;;;;;;;;;;;x
EVTTITLE_RTK.130019;Rebel Victory;;;;;;;;;;;;;x
EVTDESC_RTK.130019;The rebels have annhilated us in the field and captured much of our territory. We have no other choice than to surrender.;;;;;;;;;;;;;x
EVTTITLE_RTK.130020;Dong Zhuo Retreats;;;;;;;;;;;;;x
EVTDESC_RTK.130020;The vile Dong Zhuo has been beaten. His forces have withdrawn into the west, abandoning Luoyang and all lands east of Changan.;;;;;;;;;;;;;x
EVTTITLE_RTK.130021;Dong Zhuo Survives;;;;;;;;;;;;;x
EVTDESCA_RTK.130021;The court has settled into Changan. Dong Zhuo has taken the Emperor to the Western capital. What can we do now?;;;;;;;;;;;;;x
EVTDESCB_RTK.130021;We have managed to escape the rebels and establish ourselves in the ancient capital of Changan. Maybe we can have some peace now.;;;;;;;;;;;;;x
EVTDESCC_RTK.130021;Some commotion has taken place in the Han Imperial Court. Perhaps now is a good time to attack?;;;;;;;;;;;;;x
EVTTITLE_RTK.130025;Dong Zhuo Slain;;;;;;;;;;;;;x
EVTDESCA_RTK.130025;Wang Yun has taken over the Imperial Court at Changan. Using some clever scheme, Wang Yun and Lü Bu successfully slew the villain Dong Zhuo, sending Dong Zhuo's followers scrambling into the foothills of the West.;;;;;;;;;;;;;x
EVTDESCB_RTK.130025;Dong Zhuo has been slain by his adoptive son Lü Bu. Wang Yun now brands Dong Zhuo's loyalists traitors to the Han.;;;;;;;;;;;;;x
EVTDESCC_RTK.130025;Apparently another coup has rocked the Han Imperial Court. Their instability and weakness could be our opportunity.;;;;;;;;;;;;;x
EVTTITLE_RTK.130026;Chaos in Changan;;;;;;;;;;;;;x
EVTDESC_RTK.130026;When Dong Zhuo died, his generals and armies fled. They eventually returned hoping for amnesty, but Wang Yun was either too proud or too dogmatic to accept them. So the generals invaded, slew Wang Yun and his family, and put Lü Bu to flight. The shadow of Dong Zhuo hangs over the Empire once again.;;;;;;;;;;;;;x
EVTTITLE_RTK.130027;Wrath of Cao;;;;;;;;;;;;;x
EVTDESC_RTK.130027;The warlord Cao Cao has called for vengeance against Tao Qian. It seems Tao Qian tasked his man Zhang Kai to escort Cao Cao's father Cao Song through Xu. Instead, Zhang Kai slew Cao Song, stole his valuables, and fled. Cao Cao swears Tao Qian will pay.;;;;;;;;;;;;;x
EVTTITLE_RTK.130028;The Rise of Lü Bu;;;;;;;;;;;;;x
EVTDESC_RTK.130028;After bloodying himself in battle after battle for the sakes of other lords, Lü Bu has finally seized upon his ambition for independence. The Province of Yan is now his! What will Cao Cao do?;;;;;;;;;;;;;x
EVTTITLE_RTK.130029;The Rise of Liu Bei;;;;;;;;;;;;;x
EVTDESC_RTK.130029;From humble beginnings as a sandalweaver, Liu Bei has made quite a name for himself. With Tao Qian's passing, Liu Bei has managed to gain the province of Xu through charisma alone.;;;;;;;;;;;;;x
EVTTITLE_RTK.130030;Northern Unification;;;;;;;;;;;;;x
EVTDESC_RTK.130030;Yuan Shao and Gongsun Zan have fought numerous battles before. But now they are intent on destroying each other. Both clans speak of total annihilation. May Heaven have mercy on the North.;;;;;;;;;;;;;x
EVTTITLE_RTK.130031;Showdown in Changan;;;;;;;;;;;;;x
EVTDESC_RTK.130031;The world breathed a sigh of relief when Dong Zhuo was felled. However, since then the Western capital has only suffered greater and greater destabilization under the chaotic rule of Li Jue and Guo Si. Now these two warlords are at each others throats, turning Changan into a battlefield. The Emperor and the Imperial court are in danger...;;;;;;;;;;;;;x
EVTTITLE_RTK.130032;Imperial Escape;;;;;;;;;;;;;x
EVTDESC_RTK.130032;Through Heavenly fate, the Emperor and much of his entourage have managed to escape the chaos of Changan. Li Jue and Guo Si seem to have temporarily set their differences aside while they attempt to hunt the Emperor back down.;;;;;;;;;;;;;x
EVTTITLE_RTK.130033;The Rise of Cao Cao;;;;;;;;;;;;;x
EVTDESC_RTK.130033;Though many spoke of loyalty, it was Cao Cao who reached out and saved the Emperor. Cao Cao now controls the Son of Heaven. His ambitions are known, and the whole world fears his judgement.;;;;;;;;;;;;;x
EVTTITLE_RTK.130034;Liu Bei's Kindness;;;;;;;;;;;;;x
EVTDESC_RTK.130034;Lü Bu's takeover of Yan was completely undone within a few years. Once again without a land to call home, Lü Bu eagerly accepted Liu Bei's kindness in the form of the county of Xiao.;;;;;;;;;;;;;x
EVTTITLE_RTK.130035;Lü Bu's Betrayal;;;;;;;;;;;;;x
EVTDESC_RTK.130035;While Liu Bei was out campaigning, Lü Bu used a pretext to takeover Liu Bei's territory. Once Liu Bei returned, Lü Bu granted the former the county of Xiao... As repayment for Liu Bei's previous kindness.;;;;;;;;;;;;;x
EVTTITLE_RTK.130040;End of the Yellow Turbans;;;;;;;;;;;;;x
EVTDESC_RTK.130040;Even though bandits and rebels still periodically stir up trouble in the land. They no longer proclaim themselves as furthering the creation of a yellow heaven. The Yellow Turban rebellion is finally over.;;;;;;;;;;;;;x
