EVT_OPT_combat_trait.3_maimed;Worse, [From.GetSheHe] fell from [From.GetHerHis] horse and is grievously injured;Pire encore, [From.GetSheHe] est tomb é de cheval et s'est grièvement blessé.;;;;;;;;;;;;x,,,,
EVT_OPT_combat_trait.3_wounded;Even worse, you were over-zealous and injured your [GetFromRelation];Pire encore, vous avez montré trop de zèle et avez blessé votre [From.GetFromRelation].;;;;;;;;;;;;x,,,,
EVT_OPT_combat_trait.3_diligent;Even though [From.GetSheHe] has not improved, [From.GetSheHe] show lots of determination;Bien qu'[From.GetSheHe] n'est pas progressé, [From.GetSheHe] a montré une grande ambition.;;;;;;;;;;;;x,,,,
EVT_OPT_combat_trait.3_no_progress;Maybe next time [From.GetSheHe] will improve;Peut-être que la prochaine fois [From.GetSheHe] s'améliorera.;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.3_homosexual;[From.GetSheHeCap] seems to be enjoying the training a little too much...;Pour l'instant [From.GetSheHe] semble un peu trop apprécier l'entraînement…;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.3_stewardship;Instead [From.GetSheHe] is more interested in the cost of the armour;[From.GetSheHeCap] semble plus interessé par le coût de l'armure.;;;;;;;;;;;;x,,,,,,
EVTDESCcombat_trait.4;I didn't manage to improve my swordsman skills!;Je ne suis pas parvenu à améliorer mes talents à l'épée !;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.4;Maybe next time I shall!;Peut-être que j'y parviendrai la prochaine fois. ;;;;;;;;;;;;x,,,,,,
EVTDESCcombat_trait.5;By forcing my [GetFromRelation] to fight, I made [From.GetHerHim] a better [From.GetManWoman]!;En forçant mon(a) [GetFromRelation] à se battre, j'en ai fait un(e) meilleur(e) [From.GetManWoman]!;;;Obligando a mi hijo a luchar lo convertiré en un mejor hombre;;;;;;;;;x,,,,
EVT_OPT_combat_trait.5_ruthless;Yet [From.GetSheHe] seems to be willing to do anything to win;Pour l'instant [From.GetSheHe] semble vouloir tout faire pour l'emporter.;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.5_brave;And [From.GetSheHe] shows considerable bravery;Et [From.GetSheHe] fait montre d'une grande bravoure.;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.5_wroth;However, [From.GetSheHe] resents your insistence on training;Cependant, [From.GetSheHe] vous en veut d'être aussi exigeant(e). ;;;;;;;;;;;;x,,,,
EVT_OPT_combat_trait.5_martial;And [From.GetHerHis] understanding of theoretical warfare is better;Il semble que sa compréhension de la guerre et de ses stratégies soit bonne.;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.5_cruel;However, [From.GetSheHe] often has to be pulled of weaker opponents;Cependant, [From.GetSheHe] a souvent rencontré des adversaires plus faibles.;;;;;;;;;;;;x,,,,
EVT_OPT_combat_trait.5_nothing;The training is evidently paying off!;L'entraînement est entrain de payer !;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.5_lustful_man;Many of the maids around the court are playing attention to him now;Désormais, nombre de jouvencelles de la cour semblent lui prêter attention.;;;;;;;;;;;;x,,,,,
EVT_OPT_combat_trait.5_lustful_woman;Many of the lads around court are paying attention to her now;Désormais, nombre de jeunes hommes de la cour semblent lui prêter attention.;;;;;;;;;;;;x,,,,,
EVTDESCcombat_trait.6;My father forced me to train with him... I didn't want to, but I did learn something. Luckily I didn't get hurt!;Mon père m'a forcé à m'entrainer avec lui… Je ne voulais pas, mais j'ai appris quelque chose. Heureusement, je n'ai pas été blessé !;;;Mi padre me obliga a entrenarme con él. No quiero y con la suerte que tengo probablemente me hiera en vez de aprender algo;;;;;;;;;x,,,
EVTOPTAcombat_trait.6;I am glad I have improved.;Je suis content de m'être amélioré.;;;;;;;;;;;;x,,,,,,
force_train_son_1;Force to Train;Forcer à s'entrainer.;;;Obligar a [This.GetBestName] a entrenar;;;;;;;;;x,,,,,,
force_train_son_2;Force [This.GetTitledFirstName] to train.;Forcer [This.GetTitledFirstName] à s'entrainer.;;;Obligar a [This.GetBestName] a entrenar;;;;;;;;;x,,,,,,
force_train_son_3;Force [This.GetTitledFirstName] to train.;Forcer [This.GetTitledFirstName] à s'entrainer.;;;Obligar a [This.GetBestName] a entrenar;;;;;;;;;x,,,,,,
force_train_son_4;Force [This.GetTitledFirstName] to train.;Forcer [This.GetTitledFirstName] à s'entrainer.;;;Obligar a [This.GetBestName] a entrenar;;;;;;;;;x,,,,,,
force_train_son_1_desc;As [Root.GetHerHis] [GetFromRelation] you can force [Root.GetTitledFirstName] to learn how to fight, by teaching [Root.GetHerHim] yourself.;En tant que son(a) [GetFromRelation] vous pouvez forcer [This.GetTitledFirstName] à apprendre à se battre en lui enseignant vous-même.;;;Obligar a [This.GetBestName] a que aprenda a luchar, enseñándole tu mismo.;;;;;;;;;x,,,,
force_train_son_2_desc;Force [This.GetBestName] to keep learning how to fight, by teaching him yourself.;Forcer [This.GetBestName] à continuer d'apprendre à se battre, en lui enseignant vous-même. ;;;Obligar a [This.GetBestName] a mejore en la lucha, enseñándole tu mismo.;;;;;;;;;x,,,
force_train_son_3_desc;Force [This.GetBestName] to keep learning how to fight, by teaching him yourself.;Forcer [This.GetBestName] à continuer apprendre à se battre, en lui enseignant vous-même. ;;;Obligar a [This.GetBestName] a mejore en la lucha, enseñándole tu mismo.;;;;;;;;;x,,,
force_train_son_4_desc;Force [This.GetBestName] to keep learning how to fight, by teaching him yourself.;Forcer [This.GetBestName] à continuer apprendre à se battre, en lui enseignant vous-même. ;;;Obligar a [This.GetBestName] a mejore en la lucha, enseñándole tu mismo.;;;;;;;;;x,,,
TOOLTIPforce_train_son;Has a greater fighting skill than [Root.GetFirstName]\n;A de meilleurs aptitudes au combat que [Root.GetFirstName]\n;;;;;;;;;;;;x,,,,,,
EVTDESCcombat_trait.7;The sword in my hand seems heavier and heavier every year...;L'épée dans ma main semble de plus en plus lourde à chaque année qui passe…;;;La espada que sostengo cada año parece más pesada;;;;;;;;;x,,,,,,
#EVTDESC5550113;Under the Master-at-Arms's guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;Grâce à mes conseils, mon jeune [GetFromRelation], [From.GetFirstName], commence lentement à maîtriser l'art du combat à l'épée.;;;He aumentado las habilidades de lucha de mi hijo durante el entrenamiento;;;;;;;;;x
#EVTOPTA5550113;Good;Bien;;;;;;;;;;;;x,,,,,,
EVTTITLEob_martial_event.1;Child's Combat Prowess Improves;L'enfant s'améliore au maniement des armes;;;;;;;;;;;;x,,,,,,
EVTDESCjob_martial_event.1;I have trained my liege's children in the art of swordsmanship;J'ai formé l'enfant de mon suzerain au maniement de l'épée.;;;;;;;;;;;;x,,,,,,
EVTOPTAjob_martial_event.1;Excellent;Excellent.;;;;;;;;;;;;x,,,,,,
TOOLTIPjob_martial_event.2;[Root.Liege.GetTitledFirstName] shall be informed of young [This.GetFirstName]'s progress;[Root.Liege.GetTitledFirstName] sera informer des progères du(e la) jeune [This.GetFirstName].;;;;;;;;;;;;x,,,,,,
EVTDESCjob_martial_event.2;These past few weeks, [From.GetTitledFirstName] has been drilling me in the use of swords and lances. The instruction has been hard and stern, but my prowess has increased!;Ces dernières semaines, [From.GetTitledFirstName] m'a formé au maniement des épées et des lances. L'instruction était dure et mon professeur sévère, mais j'ai grandmeent progressé ! ;;;;;;;;;;;;x,,
EVTOPTAjob_martial_event.2;[From.GetSheHeCap] is a fine teacher;[From.GetSheHeCap] est un bon(ne) professeur.;;;;;;;;;;;;x,,,,,,
EVTDESCjob_martial_event.3;[Root.PrimaryTitle.GetFOA], I have been instructing young [From.GetFirstName] in the ways of sword and lance as requested. I am pleased to say [From.GetSheHe] appears to be a natural, [From.GetHerHis] martial prowess has improved greatly over recent weeks.\n\nYour humble Master of Arms,\n[FromFrom.GetTitledName];[Root.PrimaryTitle.GetFOA], comme vous me l'avez demandé j'ai formé le(a) jeune [From.GetFirstName] au maniement de l'épée et de la lance. Je suis heureux de vous annoncer qu'[From.GetSheHe] s'est grandment amélioré dans ce domaine durant les dernière semaine.\n\nVotre humble maître d'armes,\n[FromFrom.GetTitledName];;;;;;;;;;;;x,
EVTOPTAjob_martial_event.3;[From.GetFirstName] shall make a fine warrior;[From.GetFirstName] fera un bon combattant;;;;;;;;;;;;x,,,,,,
EVTTITLEjob_martial_event.4;Child hates training;L'enfant hait l'entrainement;;;;;;;;;;;;x,,,,,,
EVTDESCjob_martial_event.4;My liege's children have not been enjoying my instruction in swords and lances...;L'enfant de mon suzerain n'a pas apprécié mon entrainement au maniement de l'épée et de la lance…;;;;;;;;;;;;x,,,,,,
EVTOPTAjob_martial_event.4;How can they not enjoy it?;Comment peut-il ne pas aimer ?;;;;;;;;;;;;x,,,,,,
TOOLTIPjob_martial_event.5;[Root.Liege.GetTitledFirstName] shall be informed of [This.GetFirstName]'s progress;[Root.Liege.GetTitledFirstName] sera informé des progères de [This.GetFirstName].;;;;;;;;;;;;x,,,,,,
EVTDESCjob_martial_event.5;These past few weeks, [From.GetTitledFirstName] has been drilling me in the use of swords and lances, and it has been terrible. It is all far too violent, I'd much rather study scrolls with the Maester.;Ces dernières semaines, [From.GetTitledFirstName] m'a formé au maniement des épées et des lances. C'était terrible. C'est bien trop violent, je ferais mieux d'étudier des parchemins avec le mestre. ;;;;;;;;;;;;x,
EVTOPTAjob_martial_event.5;I hate jousting!;Je hais la lice !;;;;;;;;;;;;x,,,,,,
EVTDESCjob_martial_event.6;[Root.PrimaryTitle.GetFOA], I have been instructing young [From.GetFirstName] in the ways of sword and lance, and [From.GetSheHe] is not cooperating. All [From.GetSheHe] does is gripe and moan about a few scrapes and cuts, [From.GetSheHe]'d rather read a scroll than fight in a joust.\n\nYour humble Master of Arms,\n[FromFrom.GetTitledName];[Root.PrimaryTitle.GetFOA], comme on me l'a demandé j'ai formé le(a) jeune [From.GetFirstName] au maniement de l'épée et de la lance mais [From.GetSheHe] n'est pas coopératif(ve). Tout ce qu'[From.GetSheHe] fait c'est gémir et se plaindre de quelques égratignures. [From.GetSheHe] préférerais lire un parchemin plutôt que de se battre dans une lice.\n\nVotre humble maître d'armes,\n[FromFrom.GetTitledName];;;;;;;;;;;;x
EVTOPTAjob_martial_event.6;[From.GetFirstName] is too soft;[From.GetFirstName] est trop délicat.;;;;;;;;;;;;x,,,,,,
TOOLTIPforce_train_sonSUCCESS;The training is a success\n;L'entrainement est un succès\n;;;;;;;;;;;;x,,,,,,
TOOLTIPforce_train_sonFAIL;The training fails\n;L'entrainement est un échec\n;;;;;;;;;;;;x,,,,,,
force_trained;Force Trained;Entrainé de force;;;;;;;;;;;;x,,,,,,
training_son;Force Training Child;Entrainer de force un enfant;;;;;;;;;;;;x,,,,,,
EVTDESCcombat_trait.8;Through trial by combat, you have succeeded in improving your physical prowess. Your weapon feels lighter, your mind clearer, and your enemies vulnerable. Time to show them what you've learned.;;;;;;;;;;;;;x,,,
